"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Rafael Devers","BOS","141","614","27","84","88","3","8.1%","18.6%",".225",".329",".295",".358",".521",".373","","140","-1.2","26.8","0.1","4.9","17350"
"Michael Harris II","ATL","114","441","19","75","64","20","4.8%","24.3%",".217",".361",".297",".339",".514",".368","","136","5.9","24.4","6.7","4.8","25931"
"Kyle Tucker","HOU","150","609","30","71","107","25","9.7%","15.6%",".221",".261",".257",".330",".478",".348","","129","4.0","23.9","1.6","4.7","18345"
"Willy Adames","MIL","139","617","31","83","98","8","7.9%","26.9%",".220",".278",".238",".298",".458",".325","","109","2.4","8.8","14.8","4.7","15986"
"Daulton Varsho","ARI","151","592","27","79","74","16","7.8%","24.5%",".207",".269",".235",".302",".443",".323","","106","3.4","7.7","16.4","4.6","19918"
"Corey Seager","TEX","151","663","33","91","83","3","8.7%","15.5%",".211",".242",".245",".317",".455",".331","","117","2.6","15.1","6.7","4.5","13624"
"Bo Bichette","TOR","159","697","24","91","93","13","5.9%","22.2%",".179",".347",".290",".333",".469",".347","","129","-2.7","20.0","0.2","4.5","19612"
"Steven Kwan","CLE","147","638","6","89","52","19","9.7%","9.4%",".101",".323",".298",".373",".400",".341","","124","4.9","22.0","-0.7","4.4","24610"
"Carlos Correa","MIN","136","590","22","70","64","0","10.3%","20.5%",".176",".339",".291",".366",".467",".362","","140","-6.0","20.7","2.0","4.4","14162"
"George Springer","TOR","133","583","25","89","76","14","9.3%","17.2%",".205",".285",".267",".342",".472",".352","","132","4.6","25.7","-4.1","4.2","12856"
"Cal Raleigh","SEA","119","415","27","46","63","1","9.2%","29.4%",".278",".226",".211",".284",".489",".330","","121","-1.0","8.6","18.0","4.2","21534"
"Marcus Semien","TEX","161","724","26","101","83","25","7.3%","16.6%",".181",".263",".248",".304",".429",".317","","107","7.0","12.5","4.1","4.2","12533"
"Matt Chapman","TOR","155","621","27","83","76","2","11.0%","27.4%",".204",".277",".229",".324",".433",".331","","117","3.1","15.0","4.6","4.1","16505"
"Jake Cronenworth","SDP","158","684","17","88","88","3","10.2%","19.2%",".152",".275",".239",".332",".390",".318","","109","6.8","13.7","2.3","4.1","18036"
"Eugenio Suarez","SEA","150","629","31","76","87","0","11.6%","31.2%",".223",".302",".236",".332",".459",".344","","131","-2.5","19.2","-0.3","4.1","12552"
"Christian Walker","ARI","160","667","36","84","94","2","10.3%","19.6%",".235",".248",".242",".327",".477",".346","","122","-0.3","16.9","-0.4","4.1","13419"
